Currency (X),Year,Currency (X) against US dollar
Australian Dollar (AUD),2000,1.724827
Australian Dollar (AUD),2001,1.933443
Australian Dollar (AUD),2002,1.840563
Australian Dollar (AUD),2003,1.541914
Australian Dollar (AUD),2004,1.359752
Australian Dollar (AUD),2005,1.309473
Australian Dollar (AUD),2006,1.327973
Australian Dollar (AUD),2007,1.195073
Australian Dollar (AUD),2008,1.192178
Australian Dollar (AUD),2009,1.282189
Australian Dollar (AUD),2010,1.090159
Australian Dollar (AUD),2011,0.969463
Australian Dollar (AUD),2012,0.965801
Australian Dollar (AUD),2013,1.035843
Australian Dollar (AUD),2014,1.109363
Australian Dollar (AUD),2015,1.33109
Australian Dollar (AUD),2016,1.345214
Australian Dollar (AUD),2017,1.304758
Australian Dollar (AUD),2018,1.338412
Australian Dollar (AUD),2019,1.438507
Australian Dollar (AUD),2020,1.453085
Australian Dollar (AUD),2021,1.331224
Canadian Dollar (CAD),2000,1.485394
Canadian Dollar (CAD),2001,1.54884
Canadian Dollar (CAD),2002,1.570343
Canadian Dollar (CAD),2003,1.401015
Canadian Dollar (CAD),2004,1.301282
Canadian Dollar (CAD),2005,1.211405
Canadian Dollar (CAD),2006,1.134345
Canadian Dollar (CAD),2007,1.074046
Canadian Dollar (CAD),2008,1.067087
Canadian Dollar (CAD),2009,1.141535
Canadian Dollar (CAD),2010,1.030113
Canadian Dollar (CAD),2011,0.989258
Canadian Dollar (CAD),2012,0.999365
Canadian Dollar (CAD),2013,1.030137
Canadian Dollar (CAD),2014,1.104747
Canadian Dollar (CAD),2015,1.278786
Canadian Dollar (CAD),2016,1.325615
Canadian Dollar (CAD),2017,1.297936
Canadian Dollar (CAD),2018,1.295818
Canadian Dollar (CAD),2019,1.326793
Canadian Dollar (CAD),2020,1.341153
Canadian Dollar (CAD),2021,1.253877
Euro,2000,1.082705
Euro,2001,1.116533
Euro,2002,1.057559
Euro,2003,0.884048
Euro,2004,0.803922
Euro,2005,0.8038
Euro,2006,0.796433
Euro,2007,0.729672
Euro,2008,0.679923
Euro,2009,0.716958
Euro,2010,0.754309
Euro,2011,0.718414
Euro,2012,0.778338
Euro,2013,0.752945
Euro,2014,0.752728
Euro,2015,0.901296
Euro,2016,0.903421
Euro,2017,0.885206
Euro,2018,0.846773
Euro,2019,0.893276
Euro,2020,0.875506
Euro,2021,0.845494
Swiss Franc (CHF),2000,1.688843
Swiss Franc (CHF),2001,1.687615
Swiss Franc (CHF),2002,1.558607
Swiss Franc (CHF),2003,1.346651
Swiss Franc (CHF),2004,1.243496
Swiss Franc (CHF),2005,1.245177
Swiss Franc (CHF),2006,1.253843
Swiss Franc (CHF),2007,1.200366
Swiss Franc (CHF),2008,1.08309
Swiss Franc (CHF),2009,1.088142
Swiss Franc (CHF),2010,1.042906
Swiss Franc (CHF),2011,0.888042
Swiss Franc (CHF),2012,0.937684
Swiss Franc (CHF),2013,0.926904
Swiss Franc (CHF),2014,0.916151
Swiss Franc (CHF),2015,0.962381
Swiss Franc (CHF),2016,0.985394
Swiss Franc (CHF),2017,0.984692
Swiss Franc (CHF),2018,0.977892
Swiss Franc (CHF),2019,0.993709
Swiss Franc (CHF),2020,0.938965
Swiss Franc (CHF),2021,0.913846
British Pound Sterling (GBP),2000,0.660931
British Pound Sterling (GBP),2001,0.694655
British Pound Sterling (GBP),2002,0.667223
British Pound Sterling (GBP),2003,0.612472
British Pound Sterling (GBP),2004,0.54618
British Pound Sterling (GBP),2005,0.549998
British Pound Sterling (GBP),2006,0.543487
British Pound Sterling (GBP),2007,0.499772
British Pound Sterling (GBP),2008,0.543966
British Pound Sterling (GBP),2009,0.641919
British Pound Sterling (GBP),2010,0.647179
British Pound Sterling (GBP),2011,0.624141
British Pound Sterling (GBP),2012,0.633047
British Pound Sterling (GBP),2013,0.639661
British Pound Sterling (GBP),2014,0.60773
British Pound Sterling (GBP),2015,0.654545
British Pound Sterling (GBP),2016,0.740634
British Pound Sterling (GBP),2017,0.776977
British Pound Sterling (GBP),2018,0.749532
British Pound Sterling (GBP),2019,0.783445
British Pound Sterling (GBP),2020,0.78
British Pound Sterling (GBP),2021,0.727065
