Period,Total pay (real),Regular pay (real),CPIH
2001/01,4.2,2.4,1.2
2001/02,7,2.4,1.2
2001/03,3.5,3.3,1.3
2001/04,4.3,3.8,1.5
2001/05,3.1,2.9,1.9
2001/06,3.7,2.9,1.9
2001/07,3.1,3.7,1.7
2001/08,2.9,3.5,2.1
2001/09,2.7,3.1,1.7
2001/10,3.2,3.2,1.6
2001/11,3,3.5,1.2
2001/12,2,3,1.4
2002/01,1.9,2.7,1.8
2002/02,1,3.4,1.7
2002/03,1.4,3.1,1.7
2002/04,1.5,2.3,1.6
2002/05,2.4,2.8,1.2
2002/06,2.5,3.4,1.1
2002/07,2.5,2.5,1.4
2002/08,1.8,1.7,1.3
2002/09,1.7,2,1.2
2002/10,1.2,1.6,1.5
2002/11,1.2,1.4,1.6
2002/12,0.8,1.2,1.7
2003/01,1,2,1.4
2003/02,0.5,1.5,1.6
2003/03,2.5,1.1,1.6
2003/04,1.6,1.6,1.5
2003/05,1.5,1.9,1.3
2003/06,1.3,1.7,1.2
2003/07,1.4,1.7,1.3
2003/08,1.9,2.2,1.4
2003/09,2.3,2.3,1.3
2003/10,2.7,2.3,1.3
2003/11,2.4,2.4,1.3
2003/12,2.7,3,1.3
2004/01,2.8,1.9,1.5
2004/02,2.3,1.8,1.4
2004/03,2.7,2.3,1.2
2004/04,3,2.4,1.1
2004/05,2.8,2.1,1.4
2004/06,2.8,2,1.5
2004/07,2.9,2.3,1.4
2004/08,3.1,2.5,1.4
2004/09,3.1,2.3,1.2
2004/10,3.2,2.6,1.3
2004/11,3.1,2.2,1.5
2004/12,3.1,2.4,1.8
2005/01,2.9,2.5,1.7
2005/02,3.8,2.5,1.7
2005/03,2.4,2.6,2
2005/04,2.1,2.2,1.9
2005/05,2.5,2.2,1.9
2005/06,2.3,2.3,2
2005/07,2.4,2.1,2.3
2005/08,2.7,2,2.4
2005/09,2.2,2,2.5
2005/10,1.9,1.8,2.4
2005/11,2.4,2,2.2
2005/12,2.1,1.5,2.1
2006/01,1.5,1.8,2.2
2006/02,3.8,2,2.2
2006/03,3,1.6,2
2006/04,2.6,1.5,2.2
2006/05,2.1,1.5,2.4
2006/06,2.8,1.6,2.6
2006/07,2.1,1.1,2.5
2006/08,1.1,0.7,2.6
2006/09,1.3,1,2.5
2006/10,1.9,1.5,2.5
2006/11,1.6,1.3,2.8
2006/12,2.6,1.2,2.9
2007/01,3.7,1.1,2.7
2007/02,4.5,1.1,2.7
2007/03,1,1,2.9
2007/04,1.7,1.2,2.7
2007/05,2.2,1.7,2.5
2007/06,1.8,1.7,2.5
2007/07,2.7,2.6,2
2007/08,3.2,2.9,2
2007/09,3.4,2.5,2
2007/10,2.1,1.6,2.3
2007/11,2.3,1.8,2.2
2007/12,0.7,1.6,2.3
2008/01,1.5,1.7,2.4
2008/02,1.8,1.6,2.6
2008/03,2.1,1.7,2.6
2008/04,1.4,1.5,3
2008/05,0.9,0.4,3.3
2008/06,-0.3,-0.2,3.7
2008/07,-0.9,-0.8,4.2
2008/08,-1.3,-1.1,4.4
2008/09,-2.1,-1.5,4.8
2008/10,-0.9,-0.5,4.2
2008/11,-1.5,-0.5,3.8
2008/12,-0.4,0.1,3
2009/01,-4,-0.2,2.9
