STATE,HouseholdIncome
Alabama,71964
Alaska,98811
Arizona,84380
Arkansas,69357
California,111622
Colorado,100933
Connecticut,115337
Delaware,92308
Florida,83104
Georgia,85691
Hawaii,107348
Idaho,77399
Illinois,95115
Indiana,76984
Iowa,80316
Kansas,82103
Kentucky,72318
Louisiana,73759
Maine,78301
Maryland,114236
Massachusetts,115964
Michigan,80803
Minnesota,96814
Mississippi,65156
Missouri,78194
Montana,76834
Nebraska,82306
Nevada,84350
New Hampshire,101292
New Jersey,117868
New Mexico,70241
New York,105304
North Carolina,79620
North Dakota,85506
Ohio,78797
Oklahoma,74195
Oregon,88137
Pennsylvania,87262
Rhode Island,92427
South Carolina,76390
South Dakota,77932
Tennessee,76937
Texas,89506
Utah,94452
Vermont,83767
Virginia,106023
Washington,103669
West Virginia,65332
Wisconsin,82757
Wyoming,83583
